Ingredient,Description,Category,Substitutes
rock salt,"This is the cheap, non-food grade salt that we throw onto icy walkways and use to make ice cream.  It doesn't actually go into the ice cream, as some have learned the hard way, but rather into the wooden ice-filled tub that surrounds the bucket of ice cream.  The salt lowers the freezing point of the ice, which causes it to melt.  As it melts, it absorbs heat from the ice cream, helping it to freeze more quickly.  Use a ratio of one part rock salt for every five parts of ice.  If you're out of rock salt, other kinds of salt will also work, though you should use less since finer grains of salt can can be packed more densely into a cup than large chunks of rock salt.  The biggest danger is that you'll use too much salt, which will make your ice cream freeze too fast and become crusty.  When using salt other than rock salt, start with a modest amount and check the ice cream after you've churned it for ten minutes.  If the ice cream is just beginning to firm up, you have the right amount of salt.  If it's not yet firming up, you need to add more salt.   If it's crusty along the sides of the bucket, then you've added too much salt.",Salt,"[{'Substitute': '1 teaspoon kosher salt', 'Equivalent': '= 1 teaspoon rock salt', 'Note': 'more expensive', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '38750 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 teaspoon table salt', 'Equivalent': '= 1 teaspoon rock salt', 'Note': 'more expensive', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '38758 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '24 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
rock samphire,This is more commonly found in Europe than in the United States.,Other Vegetables,"[{'Substitute': '1 pound seabean', 'Equivalent': '= 1 pound rock samphire', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
rock shrimp,,Shrimp,"[{'Substitute': '1 pound shrimp', 'Equivalent': '= 1 pound rock shrimp', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '85 Cals.', 'Salt': '119 mg', 'Fat': '0.5 g', 'Cholesterol': '161 mg', 'Vitamin C': '0 mg', 'Calcium': '64 mg', 'Protein': '20.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound shrimp meat', 'Equivalent': '= 1 pound rock shrimp', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '96 Cals.', 'Salt': '229 mg', 'Fat': '1.2 g', 'Cholesterol': '199 mg', 'Vitamin C': '0 mg', 'Calcium': '24 mg', 'Protein': '21.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0.1 g'}}, {'Substitute': '1 pound canal shrimp', 'Equivalent': '= 1 pound rock shrimp', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '85 Cals.', 'Salt': '119 mg', 'Fat': '0.5 g', 'Cholesterol': '161 mg', 'Vitamin C': '0 mg', 'Calcium': '64 mg', 'Protein': '20.1 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.2 g', 'Saturated Fats': '0.1 g'}}]"
rocotillo pepper,"This is a small, sweet, mild pepper that looks like someone stepped on it. It's fruity-tasting like a habanero, only not nearly as hot.",Fresh Chile Peppers,"[{'Substitute': '1 pound poblano pepper', 'Equivalent': '= 1 pound rocotillo pepper', 'Note': 'Rocotillos are sweeter and fruitier than poblanos.', 'Nutritional value': {'Carbs': '4.6 g', 'Calories': '20 Cals.', 'Salt': '3 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '80.4 mg', 'Calcium': '10 mg', 'Protein': '0.9 g', 'Sugars': '2.4 g', 'Fiber': '1.7 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0.1 g'}}]"
rocoto chili,These very hot chiles look like tiny bell peppers and have black seeds. They have an interesting fruity flavor.,Fresh Chile Peppers,"[{'Substitute': '1 pound manzana chili', 'Equivalent': '= 1 pound rocoto chili', 'Note': 'very similar', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound habanero - fresh', 'Equivalent': '= 1 pound rocoto chili', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '2000 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
rocoto sauce,This moderately hot Peruvian sauce is made from rocoto chiles.,Hispanic condiments,"[{'Substitute': '1 ounce red chile sauce', 'Equivalent': '= 1 ounce rocoto sauce', 'Note': '', 'Nutritional value': {'Carbs': '6.7 g', 'Calories': '33 Cals.', 'Salt': '900 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '50 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '3.3 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 ounce salsa verde', 'Equivalent': '= 1 ounce rocoto sauce', 'Note': '', 'Nutritional value': {'Carbs': '6.5 g', 'Calories': '48 Cals.', 'Salt': '742 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '3.2 g', 'Fiber': '3.2 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
rolled oats,"These are oat groats that are steamed, rolled, and flaked so that they cook quickly.   They're often cooked as a breakfast cereal, added raw to granola or muesli mixes, or used to make oatmeal cookies.  Regular rolled oats take about five minutes to cook.  If you're in a hurry, try quick oats or instant oats.  These have thinner flakes, so they cook faster",Oats,"[{'Substitute': '1 cup steel-cut oats', 'Equivalent': '= 1 cup rolled oats', 'Note': 'chewier, takes longer to cook', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup quick oats', 'Equivalent': '= 1 cup rolled oats', 'Note': 'These are less chewy, but they take less time to cook', 'Nutritional value': {'Carbs': '67.5 g', 'Calories': '375 Cals.', 'Salt': '0 mg', 'Fat': '7.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '50 mg', 'Protein': '12.5 g', 'Sugars': '2.5 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '1.3 g'}}, {'Substitute': '1 cup instant oats', 'Equivalent': '= 1 cup rolled oats', 'Note': ""These usually have additional flavorings.  They're less chewy, but they take less time to cook."", 'Nutritional value': {'Carbs': '69.5 g', 'Calories': '362 Cals.', 'Salt': '220 mg', 'Fat': '6.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '351 mg', 'Protein': '11.9 g', 'Sugars': '1.5 g', 'Fiber': '10 g', 'Mono Fats': '2.3 g', 'Poly Fats': '2.5 g', 'Saturated Fats': '1.3 g'}}, {'Substitute': '1 cup triticale flakes', 'Equivalent': '= 1 cup rolled oats', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 cup rye flakes', 'Equivalent': '= 1 cup rolled oats', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
rolled veal roast,This is an entire boneless shoulder that has been rolled and tied. It can be braised or roasted.,Veal Shoulder Cuts,"[{'Substitute': '1 pound lamb loin roast rolled', 'Equivalent': '= 1 pound rolled veal roast', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '166 Cals.', 'Salt': '47 mg', 'Fat': '8.3 g', 'Cholesterol': '64 mg', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '21.3 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '6.5 g', 'Poly Fats': '2 g', 'Saturated Fats': '2.8 g'}}]"
rolling pin,,Baking Equipment,"[{'Substitute': '1 each cookie sheet', 'Equivalent': '= 1 each rolling pin', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 each red wine bottle', 'Equivalent': '= 1 each rolling pin', 'Note': '', 'Nutritional value': {'Carbs': '2.6 g', 'Calories': '85 Cals.', 'Salt': '4 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '8 mg', 'Protein': '0.1 g', 'Sugars': '0.6 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
romaine lettuce,"Romaine combines good flavor and crunch, plus it has a decent shelf life in the refrigerator.  It's the preferred green for Caesar salad.  Green romaine is the most common variety, but you can sometimes find red romaine, which is more tender.",Salad Greens,"[{'Substitute': '1 pound iceberg lettuce', 'Equivalent': '= 1 pound romaine lettuce', 'Note': '', 'Nutritional value': {'Carbs': '3 g', 'Calories': '14 Cals.', 'Salt': '10 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '2.8 mg', 'Calcium': '18 mg', 'Protein': '0.9 g', 'Sugars': '2 g', 'Fiber': '1.2 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound Boston lettuce', 'Equivalent': '= 1 pound romaine lettuce', 'Note': '', 'Nutritional value': {'Carbs': '2.2 g', 'Calories': '13 Cals.', 'Salt': '5 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '3.7 mg', 'Calcium': '35 mg', 'Protein': '1.4 g', 'Sugars': '0.9 g', 'Fiber': '1.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
Romano,"Romano is similar to Parmesan and Asiago, only it has a nuttier, sharper, and saltier flavor. Pecorino Romano is made from sheep's milk, Caprino Romano from goat's milk, and Vacchino Romano from cow's milk. It's often grated onto pizzas and pasta dishes to add flavor. Pecorino Romano is made from sheep's milk, Caprino Romano from goat's milk, and Vacchino Romano from cow's milk. Domestic Romanos aren't as well-regarded as Italian Romanos.",Firm Cheeses,"[{'Substitute': '1 pound parmesan', 'Equivalent': '= 1 pound Romano', 'Note': 'not as sharp and salty', 'Nutritional value': {'Carbs': '3.2 g', 'Calories': '392 Cals.', 'Salt': '1376 mg', 'Fat': '25.8 g', 'Cholesterol': '68 mg', 'Vitamin C': '0 mg', 'Calcium': '1184 mg', 'Protein': '35.8 g', 'Sugars': '0.8 g', 'Fiber': '0 g', 'Mono Fats': '7.5 g', 'Poly Fats': '0.6 g', 'Saturated Fats': '16.4 g'}}, {'Substitute': '1 pound Asiago (aged)', 'Equivalent': '= 1 pound Romano', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound Sapsago', 'Equivalent': '= 1 pound Romano', 'Note': '', 'Nutritional value': {'Carbs': '1.4 g', 'Calories': '393 Cals.', 'Salt': '187 mg', 'Fat': '31 g', 'Cholesterol': '93 mg', 'Vitamin C': '0 mg', 'Calcium': '890 mg', 'Protein': '27 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '8 g', 'Poly Fats': '1.3 g', 'Saturated Fats': '18.2 g'}}, {'Substitute': '1 pound Manchego (aged)', 'Equivalent': '= 1 pound Romano', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '321 Cals.', 'Salt': '500 mg', 'Fat': '25 g', 'Cholesterol': '107 mg', 'Vitamin C': '0 mg', 'Calcium': '714 mg', 'Protein': '25 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '16.1 g'}}, {'Substitute': '1 pound nutritional yeast', 'Equivalent': '= 1 pound Romano', 'Note': ""This substitution works best if recipe calls for cheese to be sprinkled over a dish. Nutritional yeast is low in fat, high in protein and B vitamins, and it's not made with any animal products."", 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound cheese substitutes', 'Equivalent': '= 1 pound Romano', 'Note': '', 'Nutritional value': {'Carbs': '23.7 g', 'Calories': '248 Cals.', 'Salt': '685 mg', 'Fat': '12.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '0.1 mg', 'Calcium': '610 mg', 'Protein': '11.5 g', 'Sugars': '23.7 g', 'Fiber': '0 g', 'Mono Fats': '6.2 g', 'Poly Fats': '1.7 g', 'Saturated Fats': '3.7 g'}}, {'Substitute': '1 pound black olives oil cured', 'Equivalent': '= 1 pound Romano', 'Note': 'as a pizza topping', 'Nutritional value': {'Carbs': '6.1 g', 'Calories': '105 Cals.', 'Salt': '735 mg', 'Fat': '9.5 g', 'Cholesterol': '0 mg', 'Vitamin C': '1.1 mg', 'Calcium': '90 mg', 'Protein': '0.9 g', 'Sugars': '0 g', 'Fiber': '3 g', 'Mono Fats': '7 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '1.3 g'}}, {'Substitute': '1 pound breadcrumbs seasoned', 'Equivalent': '= 1 pound Romano', 'Note': 'as a pizza topping', 'Nutritional value': {'Carbs': '71 g', 'Calories': '387 Cals.', 'Salt': '806 mg', 'Fat': '4.8 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '129 mg', 'Protein': '12.9 g', 'Sugars': '6.5 g', 'Fiber': '3.2 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
Rome apple,These are best used for baking and for making applesauce. They don't work well in pies.,Apples,"[{'Substitute': '1 pound Fuji apple', 'Equivalent': '= 1 pound Rome apple', 'Note': '', 'Nutritional value': {'Carbs': '15.2 g', 'Calories': '63 Cals.', 'Salt': '1 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '7 mg', 'Protein': '0.2 g', 'Sugars': '11.7 g', 'Fiber': '2.1 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 pound Jonagold apple', 'Equivalent': '= 1 pound Rome apple', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 pound honeycrisp apples', 'Equivalent': '= 1 pound Rome apple', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
romeritos,"This Mexican herb has succulent leaves and is used as a seasoning or cooking green, especially during Lent.",Hispanic Herbs,"[{'Substitute': '1 tablespoon nopalitos', 'Equivalent': '= 1 tablespoon romeritos', 'Note': '', 'Nutritional value': {'Carbs': '3.5 g', 'Calories': '18 Cals.', 'Salt': '24 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '10.6 mg', 'Calcium': '176 mg', 'Protein': '1.2 g', 'Sugars': '1.2 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon purslane', 'Equivalent': '= 1 tablespoon romeritos', 'Note': '', 'Nutritional value': {'Carbs': '3.4 g', 'Calories': '20 Cals.', 'Salt': '45 mg', 'Fat': '0.4 g', 'Cholesterol': '0 mg', 'Vitamin C': '21 mg', 'Calcium': '65 mg', 'Protein': '2 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
Rondelé,This flavored cream cheese is an inexpensive domestic version of Boursin.,Fresh Cheeses,"[{'Substitute': '1 pound Boursin', 'Equivalent': '= 1 pound Rondelé', 'Note': '', 'Nutritional value': {'Carbs': '4.5 g', 'Calories': '318 Cals.', 'Salt': '591 mg', 'Fat': '31.8 g', 'Cholesterol': '114 mg', 'Vitamin C': '0 mg', 'Calcium': '91 mg', 'Protein': '4.6 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '20.5 g'}}]"
Roquefort,"This French sheep's milk cheese is considered to be one of the finest of the blue cheeses. Some Roquefort cheeses can be frozen successfully, others become crumbly (but still usable in salads).  For best results, first cut the cheese into small (1/2 pound) chunks, and wrap each chunk in an airtight package. Thaw in the refrigerator, and use the cheese soon after it's thawed.",Blue Cheeses,"[{'Substitute': '1 pound Maytag Blue', 'Equivalent': '= 1 pound Roquefort', 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': '1 pound Gorgonzola', 'Equivalent': '= 1 pound Roquefort', 'Note': 'creamier', 'Nutritional value': {'Carbs': '3.6 g', 'Calories': '357 Cals.', 'Salt': '1214 mg', 'Fat': '28.6 g', 'Cholesterol': '89 mg', 'Vitamin C': '0 mg', 'Calcium': '464 mg', 'Protein': '21.4 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '21.4 g'}}, {'Substitute': '1 pound Stilton cheese', 'Equivalent': '= 1 pound Roquefort', 'Note': 'firmer', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}, {'Substitute': ""1 pound Bleu d'Auvergne"", 'Equivalent': '= 1 pound Roquefort', 'Note': '', 'Nutritional value': {'Carbs': '2.3 g', 'Calories': '353 Cals.', 'Salt': '1146 mg', 'Fat': '28.7 g', 'Cholesterol': '75 mg', 'Vitamin C': '0 mg', 'Calcium': '528 mg', 'Protein': '21.4 g', 'Sugars': '0.5 g', 'Fiber': '0 g', 'Mono Fats': '7.8 g', 'Poly Fats': '0.8 g', 'Saturated Fats': '18.7 g'}}]"
Rosa Bianca eggplant,"This Italian heirloom eggplant has sweet, mild flesh and a creamy texture. They're hard to find, but knowing cooks scoop them up whenever they're in season.",Eggplants,[]
rose apple,These rose or green fruits are pear-shaped and are said to taste like rose water. The seeds are poisonous.,Other Exotic Tropical Fruit,"[{'Substitute': '1 pound apple', 'Equivalent': '= 1 pound rose apple', 'Note': 'not as acidic', 'Nutritional value': {'Carbs': '13.8 g', 'Calories': '52 Cals.', 'Salt': '1 mg', 'Fat': '0.2 g', 'Cholesterol': '0 mg', 'Vitamin C': '4.6 mg', 'Calcium': '6 mg', 'Protein': '0.3 g', 'Sugars': '10.4 g', 'Fiber': '2.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
rose essence,"This is similar to rose water, only it's far more concentrated. Indian cooks use it to flavor beverages and desserts.",Extracts and Flavoring Oils,"[{'Substitute': '1 teaspoon rose syrup', 'Equivalent': '= 1 teaspoon rose essence', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '6 teaspoons rose water', 'Equivalent': '= 1 teaspoon rose essence', 'Note': '1 part rose essence = 4-8 parts rose water', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 teaspoon saffron', 'Equivalent': '= 1 teaspoon rose essence', 'Note': 'different flavor', 'Nutritional value': {'Carbs': '65.4 g', 'Calories': '310 Cals.', 'Salt': '148 mg', 'Fat': '5.9 g', 'Cholesterol': '0 mg', 'Vitamin C': '80.8 mg', 'Calcium': '111 mg', 'Protein': '11.4 g', 'Sugars': '0 g', 'Fiber': '3.9 g', 'Mono Fats': '0.4 g', 'Poly Fats': '2.1 g', 'Saturated Fats': '1.6 g'}}]"
rosella,This is grown in Africa.,Other Exotic Tropical Fruit,"[{'Substitute': '1 pound cranberry', 'Equivalent': '= 1 pound rosella', 'Note': '', 'Nutritional value': {'Carbs': '12 g', 'Calories': '46 Cals.', 'Salt': '2 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '14 mg', 'Calcium': '8 mg', 'Protein': '0.5 g', 'Sugars': '4.3 g', 'Fiber': '3.6 g', 'Mono Fats': '0 g', 'Poly Fats': '0.1 g', 'Saturated Fats': '0 g'}}]"
rosemary,"The Italians are particularly fond of this pungent herb with its needle-like leaves.  They often use it to flavor meats and tomato sauces.  Rosemary stems, stripped of their leaves, can also be used as skewers for kabobs.  Dried rosemary is an excellent substitute for fresh.",European Herbs,"[{'Substitute': '1 tablespoon sage', 'Equivalent': '= 1 tablespoon rosemary', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon savory', 'Equivalent': '= 1 tablespoon rosemary', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon thyme', 'Equivalent': '= 1 tablespoon rosemary', 'Note': '', 'Nutritional value': {'Carbs': '24.5 g', 'Calories': '101 Cals.', 'Salt': '9 mg', 'Fat': '1.7 g', 'Cholesterol': '0 mg', 'Vitamin C': '160.1 mg', 'Calcium': '405 mg', 'Protein': '5.6 g', 'Sugars': '0 g', 'Fiber': '14 g', 'Mono Fats': '0.1 g', 'Poly Fats': '0.5 g', 'Saturated Fats': '0.5 g'}}, {'Substitute': '1 tablespoon herbes de Provence', 'Equivalent': '= 1 tablespoon rosemary', 'Note': '', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}, {'Substitute': '1 tablespoon oregano', 'Equivalent': '= 1 tablespoon rosemary', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}, {'Substitute': '1 tablespoon bay leaf', 'Equivalent': '= 1 tablespoon rosemary', 'Note': '', 'Nutritional value': {'Carbs': '0 g', 'Calories': '0 Cals.', 'Salt': '0 mg', 'Fat': '0 g', 'Cholesterol': '0 mg', 'Vitamin C': '0 mg', 'Calcium': '0 mg', 'Protein': '0 g', 'Sugars': '0 g', 'Fiber': '0 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
rose petals,,Edible Flowers,"[{'Substitute': '1 ounce violet', 'Equivalent': '= 1 ounce rose petals', 'Note': 'for syrups, jams, and for crystallizing', 'Nutritional value': {'Carbs': '', 'Calories': '', 'Salt': '', 'Fat': '', 'Cholesterol': '', 'Vitamin C': '', 'Calcium': '', 'Protein': '', 'Sugars': '', 'Fiber': '', 'Mono Fats': '', 'Poly Fats': '', 'Saturated Fats': ''}}]"
Rose's lime juice,This British concoction is a syrup based on key lime juice.  It's often called for in gimlets and other drink recipes.,Fruit Syrups,"[{'Substitute': '1 cup lime juice', 'Equivalent': ""= 1 cup Rose's lime juice"", 'Note': '', 'Nutritional value': {'Carbs': '8.4 g', 'Calories': '25 Cals.', 'Salt': '2 mg', 'Fat': '0.1 g', 'Cholesterol': '0 mg', 'Vitamin C': '30 mg', 'Calcium': '14 mg', 'Protein': '0.4 g', 'Sugars': '1.7 g', 'Fiber': '0.4 g', 'Mono Fats': '0 g', 'Poly Fats': '0 g', 'Saturated Fats': '0 g'}}]"
